ambiguity,fileid,nps,numbers,sent
Lack of Oxford,test/14858,fruit juices~~~purees~~~pulp,"['P', 'P', 'S']","The U.S. Has also asked the General Agreement on Tariffs and Trade to investigate the legality of Japanese import controls on 12 other farm products, including fruit juices, purees and pulp, tomato juice, ketchup and sauce, peanuts, prepared beef products and miscellaneous beans."
Neither,test/14862,eight pct GNP growth~~~five billion dlrs of -LRB- current account -RRB- surplus~~~12 pct growth in exports,"['S', 'P', 'S']","""Our government projections of eight pct GNP growth, five billion dlrs of (current account) surplus and 12 pct growth in exports all seemed to be reasonable early this year."
Oxford,test/14863,Neste Oy~~~Celanese Canada Inc~~~Hoechst Celanese Corporation~~~Trade Mountain Pipe Line Company Ltd,"['S', 'S', 'S', 'S']","The partners in the study are Neste Oy, Celanese Canada Inc, Hoechst Celanese Corporation and Trade Mountain Pipe Line Company Ltd, of Vancouver, B.C. The Edmonton site was suitable because of the raw materials availability, the proximity to pipeline transportation and the important capital and operating advantages gained by locating on an existing Celanese Canada site, the statement said."
Oxford,test/14863,the raw materials availability~~~the proximity to pipeline transportation~~~the important capital and operating advantages gained by locating on an existing Celanese Canada site,"['S', 'S', 'P']","The partners in the study are Neste Oy, Celanese Canada Inc, Hoechst Celanese Corporation and Trade Mountain Pipe Line Company Ltd, of Vancouver, B.C. The Edmonton site was suitable because of the raw materials availability, the proximity to pipeline transportation and the important capital and operating advantages gained by locating on an existing Celanese Canada site, the statement said."
Oxford,test/14882,China~~~Japan~~~the Philippines~~~South Korea~~~Singapore~~~Taiwan,"['S', 'S', 'P', 'S', 'S', 'S']","The department said major buyers included China, Japan, the Philippines, South Korea, Singapore and Taiwan."
Lack of Oxford,test/14890,High short-term interest rates~~~a bullish stock market~~~an increasingly stable currency,"['P', 'S', 'S']","High short-term interest rates, a bullish stock market and an increasingly stable currency reflect a massive inflow of fresh funds in the last two months, largely from Japanese and U.S. Investors, analysts polled by Reuters said."
Oxford,test/14890,Australia~~~Britain~~~Canada,"['S', 'S', 'S']","Fund managers want quality markets to park their cash in and have settled on Australia, Britain and Canada as they diversify from volatile U.S. Dollar instruments, they said."
Neither,test/14890,A one percentage point fall in key 10-year bonds rates in the past month~~~record share prices~~~a 10-month high for the currency of 0.71 U.S. Dlrs,"['S', 'P', 'S']","A one percentage point fall in key 10-year bonds rates in the past month, record share prices and a 10-month high for the currency of 0.71 U.S. Dlrs all illustrated the inflow."
Oxford,test/14891,low domestic inflation~~~a bottoming out of the fall in imports in recent years~~~signs government spending on productive sectors will remain steady,"['S', 'S', 'P']","Other reasons are low domestic inflation, a bottoming out of the fall in imports in recent years and signs government spending on productive sectors will remain steady."
Oxford,test/14892,drought~~~low use of fertiliser~~~overstressed palms,"['S', 'S', 'P']","Output in 1987 is expected to reach around 4.5 mln tonnes, unchanged from 1986, because of drought, low use of fertiliser and overstressed palms, they said."
Oxford,test/14900,Australia~~~the U.S.~~~New Zealand,"['S', 'S', 'S']","Monier is the largest concrete roof tile manufacturer in Australia, the U.S. And New Zealand and the world's largest marketer of fly ash, according to its annual report for 1985/86 ended June 30."
Oxford,test/14921,SMC~~~Neptunia~~~unnamed institutional investors,"['S', 'S', 'P']","They said the shares would be purchased by the <A.Soriano> group of companies, SMC, Neptunia and unnamed institutional investors."
Oxford,test/14922,far north Queensland~~~the Bundaberg region~~~southern Queensland,"['S', 'S', 'S']","Elsewhere, in far north Queensland, the Bundaberg region and southern Queensland, the cane is in excellent condition and some mills are forecasting record crops, he said."
Oxford,test/14931,depreciation~~~inflation~~~more depreciation,"['S', 'S', 'S']","He said the United States could face a vicious circle of depreciation, inflation and more depreciation if it took that route."
Neither,test/14951,fruit juices~~~purees and pulp~~~some tomato products~~~peanuts~~~prepared beef products and beans,"['P', 'P', 'P', 'P', 'P']","The products include fruit juices, purees and pulp, some tomato products, peanuts, prepared beef products and beans."
Oxford,test/14957,New South Wales -LRB- NSW -RRB-~~~Victoria~~~Western Australia,"['S', 'S', 'S']","Tug crews in New South Wales (NSW), Victoria and Western Australia yesterday lifted their ban on foreign-flag ships carrying containers but NSW ports are still being disrupted by a separate dispute, shipping sources said."
Oxford,test/14957,Sydney~~~Newcastle~~~Port Kembla,"['S', 'S', 'S']","Meanwhile, disruption began today to cargo handling in the ports of Sydney, Newcastle and Port Kembla, they said."
Oxford,test/14975,its DESKPRO 386~~~PORTABLE III~~~the new COMPAQ DESKPRO 286,"['S', 'S', 'S']","The company said demand for its DESKPRO 386, PORTABLE III and the new COMPAQ DESKPRO 286 will contribute to the sales increase. """
Oxford,test/14993,Burnell Roberts~~~chairman~~~chief executive officer,"['S', 'S', 'S']","The generally strong outlook bodes well for significantly improved earnings this year,"" Burnell Roberts, chairman and chief executive officer said."
Neither,test/15031,"C.S.C. Security Gaurd Service of Paramus , N.J. , from Cartel Security Consultants Inc~~~the Guard Services Division of Security Services of America of Wayne , N.J. , Capital Investigations and Protective Agency of Hackensack , N.J.~~~Meyer Detective Agency Inc of National Park , N.J.","['S', 'P', 'S']","It said it acquired guard service companies C.S.C. Security Gaurd Service of Paramus, N.J., from Cartel Security Consultants Inc, the Guard Services Division of Security Services of America of Wayne, N.J., Capital Investigations and Protective Agency of Hackensack, N.J., and Meyer Detective Agency Inc of National Park, N.J."
Neither,test/15031,"the Guard Services Division of Security Services of America of Wayne , N.J.~~~Capital Investigations~~~Protective Agency","['S', 'P', 'S']","It said it acquired guard service companies C.S.C. Security Gaurd Service of Paramus, N.J., from Cartel Security Consultants Inc, the Guard Services Division of Security Services of America of Wayne, N.J., Capital Investigations and Protective Agency of Hackensack, N.J., and Meyer Detective Agency Inc of National Park, N.J."
Neither,test/15031,"the Louisville~~~Kent and Nashville , Tenn~~~offices of Wells Fargo Alarm Services","['S', 'P', 'P']","The company said it bought alarm service operations Certified Security Services Inc of Key West, Fla., Custom Security Services of Myrtle Beach, S.C., A-T-E Security Group Inc of Houston and the Louisville, Kent and Nashville, Tenn, offices of Wells Fargo Alarm Services."
Oxford,test/15043,sunflower~~~maize~~~sorghum,"['S', 'S', 'S']","They said sunflower, maize and sorghum production estimates had been reduced despite some later warm, dry weather, which has allowed a return to harvesting in some areas."
Oxford,test/15043,83 mm in Cordoba~~~41 in Santa Fe~~~50 in Entre Rios and Misiones~~~95 in Corrientes~~~eight in Chaco~~~35 in Formosa,"['S', 'S', 'P', 'S', 'S', 'S']","Rains in the middle of last week reached an average of 27 millimetres in parts of Buenos Aires province, 83 mm in Cordoba, 41 in Santa Fe, 50 in Entre Rios and Misiones, 95 in Corrientes, eight in Chaco and 35 in Formosa."
