ambiguity,fileid,nps,numbers,sent
,ca01,,,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place.
,ca01,,,"The jury further said in term-end presentments that the City Executive Committee, which had over-all charge of the election, `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted."
,ca01,,,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr..
,ca01,,,"`` Only a relative handful of such reports was received '', the jury said, `` considering the widespread interest in the election, the number of voters and the size of this city ''."
Oxford,ca01,the widespread interest in the election~~~the number of voters~~~the size of this city,"['S', 'S', 'S']","`` Only a relative handful of such reports was received '', the jury said, `` considering the widespread interest in the election, the number of voters and the size of this city ''."
,ca01,,,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous ''.
,ca01,,,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them ''.
,ca01,,,"The grand jury commented on a number of other topics, among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments ''."
,ca01,,,Merger proposed
,ca01,,,"However, the jury said it believes `` these two offices should be combined to achieve greater efficiency and reduce the cost of administration ''."
,ca01,,,"The City Purchasing Department, the jury said, `` is lacking in experienced clerical personnel as a result of city personnel policies ''."
,ca01,,,It urged that the city `` take steps to remedy '' this problem.
,ca01,,,Implementation of Georgia's automobile title law was also recommended by the outgoing jury.
,ca01,,,It urged that the next Legislature `` provide enabling funds and re-set the effective date so that an orderly implementation of the law may be effected ''.
,ca01,,,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes.
,ca01,,,"`` This is one of the major items in the Fulton County general assistance program '', the jury said, but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County, which receives none of this money."
,ca01,,,The jurors said they realize `` a proportionate distribution of these funds might disable this program in our less populous counties ''.
,ca01,,,"Nevertheless, `` we feel that in the future Fulton County should receive some portion of these available funds '', the jurors said."
,ca01,,,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers.
,ca01,,,"The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers, guardians and administrators and the awarding of fees and compensation."
Neither,ca01,appraisers~~~guardians~~~administrators,"['P', 'P', 'P']","The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers, guardians and administrators and the awarding of fees and compensation."
,ca01,,,Wards protected
,ca01,,,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries, the Atlanta Bar Association and an interim citizens committee."
Lack of Oxford,ca01,two previous grand juries~~~the Atlanta Bar Association~~~an interim citizens committee,"['P', 'S', 'S']","The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries, the Atlanta Bar Association and an interim citizens committee."
,ca01,,,"`` These actions should serve to protect in fact and in effect the court's wards from undue costs and its appointed and elected servants from unmeritorious criticisms '', the jury said."
,ca01,,,"Regarding Atlanta's new multi-million-dollar airport, the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences ''."
,ca01,,,"The jury did not elaborate, but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable ''."
,ca01,,,Ask jail deputies
,ca01,,,"On other matters, the jury recommended that : (1)"
,ca01,,,"Four additional deputies be employed at the Fulton County Jail and `` a doctor, medical intern or extern be employed for night and weekend duty at the jail ''."
Oxford,ca01,a doctor~~~medical intern~~~extern,"['S', 'S', 'S']","Four additional deputies be employed at the Fulton County Jail and `` a doctor, medical intern or extern be employed for night and weekend duty at the jail ''."
,ca01,,,(2)
,ca01,,,Fulton legislators `` work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes.
,ca01,,,"The jury praised the administration and operation of the Atlanta Police Department, the Fulton Tax Commissioner's Office, the Bellwood and Alpharetta prison farms, Grady Hospital and the Fulton Health Department."
Lack of Oxford,ca01,the Atlanta Police Department~~~the Fulton Tax Commissioner 's Office~~~the Bellwood and Alpharetta prison farms~~~Grady Hospital~~~the Fulton Health Department,"['S', 'S', 'P', 'S', 'S']","The jury praised the administration and operation of the Atlanta Police Department, the Fulton Tax Commissioner's Office, the Bellwood and Alpharetta prison farms, Grady Hospital and the Fulton Health Department."
,ca01,,,"Mayor William B. Hartsfield filed suit for divorce from his wife, Pearl Williams Hartsfield, in Fulton Superior Court Friday."
,ca01,,,His petition charged mental cruelty.
,ca01,,,"The couple was married Aug. 2, 1913."
,ca01,,,"They have a son, William Berry Jr., and a daughter, Mrs. J. M. Cheshire of Griffin."
,ca01,,,Attorneys for the mayor said that an amicable property settlement has been agreed upon.
,ca01,,,The petition listed the mayor's occupation as `` attorney '' and his age as 71.
,ca01,,,"It listed his wife's age as 74 and place of birth as Opelika, Ala.."
,ca01,,,The petition said that the couple has not lived together as man and wife for more than a year.
